id,key,value,type
206493462,wheelchair,yes,regular
206493462,wikidata,Q3272369,regular
206493462,wikipedia,en:Kallang MRT Station,regular
206529415,name,Yio Chu Kang,regular
206529415,en,Yio Chu Kang,name
206529415,zh,杨厝港,name
206529415,network,MRT,regular
206529415,public_transport,station,regular
206529415,railway,station,regular
206529415,ref,NS15,regular
206529415,shop,bakery,regular
206529415,station,subway,regular
206556820,name,Paya Lebar,regular
206556820,en,Paya Lebar,name
206556820,hi,பாய லேபார்,name
206556820,ms,Paya Lebar,name
206556820,zh,巴耶利峇,name
206556820,network,MRT,regular
206556820,public_transport,station,regular
206556820,railway,station,regular
206556820,ref,EW8;CC9,regular
206556820,station,subway,regular
206556820,wheelchair,yes,regular
206833639,highway,traffic_signals,regular
206833685,highway,traffic_signals,regular
206833715,highway,traffic_signals,regular
206833803,highway,traffic_signals,regular
206833833,highway,traffic_signals,regular
206834049,created_by,JOSM,regular
206837678,highway,traffic_signals,regular
206837678,traffic_signals,signal,regular
207725957,name,Bedok,regular
207725957,en,Bedok,name
207725957,zh,勿洛,name
207725957,network,MRT,regular
207725957,public_transport,station,regular
207725957,railway,station,regular
207725957,ref,EW5,regular
207725957,station,subway,regular
208516778,name,Lavender,regular
208516778,en,Lavender,name
208516778,zh,劳明达,name
208516778,network,MRT,regular
208516778,public_transport,station,regular
208516778,railway,station,regular
208516778,ref,EW11,regular
208516778,station,subway,regular
208516779,name,Bugis,regular
208516779,en,Bugis,name
208516779,zh,武吉士,name
208516779,network,MRT,regular
208516779,public_transport,station,regular
208516779,railway,station,regular
208516779,ref,EW12;DT14,regular
208516779,station,subway,regular
208516779,wheelchair,limited,regular
208526059,name,Redhill,regular
208526059,en,Redhill,name
208526059,zh,红山,name
208526059,network,MRT,regular
208526059,public_transport,station,regular
208526059,railway,station,regular
208526059,ref,EW18,regular
208526059,station,subway,regular
208527368,name,Queenstown,regular
208527368,en,Queenstown,name
208527368,zh,女皇镇,name
208527368,network,MRT,regular
208527368,public_transport,station,regular
208527368,railway,station,regular
208527368,ref,EW19,regular
208527368,station,subway,regular
209390589,name,Commonwealth,regular
209390589,en,Commonwealth,name
209390589,zh,联邦,name
209390589,network,MRT,regular
209390589,public_transport,station,regular
209390589,railway,station,regular
209390589,ref,EW20,regular
209390589,station,subway,regular
209390589,wheelchair,yes,toilets
209390589,wheelchair,yes,regular
209391329,name,Buona Vista,regular
209391329,en,Buona Vista,name
209391329,hi,புவன விஸ்தா,name
209391329,ms,Buona Vista,name
209391329,zh,波那维斯达,name
209391329,network,MRT,regular
209391329,public_transport,station,regular
209391329,railway,station,regular
209391329,ref,EW21;CC22,regular
209391329,station,subway,regular
209391329,wheelchair,yes,regular
209451013,name,Dover,regular
209451013,en,Dover,name
209451013,zh,杜佛,name
209451013,network,MRT,regular
209451013,public_transport,station,regular
209451013,railway,station,regular
209451013,ref,EW22,regular
209451013,station,subway,regular
209451044,name,Clementi,regular
209451044,en,Clementi,name
209451044,zh,金文泰,name
209451044,network,MRT,regular
209451044,public_transport,station,regular
209451044,railway,station,regular
209451044,ref,EW23,regular
209451044,station,subway,regular
209451044,wheelchair,yes,regular
209451044,wikidata,Q3272296,regular
209451044,wikipedia,en:Clementi MRT station,regular
209451066,name,Jurong East,regular
209451066,en,Jurong East,name
209451066,zh,裕廊东,name
209451066,network,MRT,regular
209451066,public_transport,station,regular
209451066,railway,station,regular
209451066,ref,NS1;EW24;JE5,regular
209451066,station,subway,regular
209451088,name,Chinese Garden,regular
209451088,en,Chinese Garden,name
209451088,ms,Chinese Garden,name
209451088,ta,சீனத் தோட்டம்,name
209451088,zh,裕华园,name
209451088,network,MRT,regular
209451088,public_transport,station,regular
